sexo,edad,estatura,Gr_Sang
Hombre,27,1.83,O
Mujer,26,1.81,B
Hombre,19,1.67,B
Hombre,24,NA,O
Hombre,24,1.79,O
Hombre,27,1.94,O
Mujer,19,NA,O
Mujer,28,1.46,O
Mujer,26,1.57,A
Hombre,25,1.88,B
Hombre,22,NA,B
Mujer,28,1.57,B
Hombre,20,1.95,AB
Mujer,18,1.71,O
Hombre,20,1.43,O
Hombre,24,1.64,AB
Hombre,30,NA,AB
Hombre,30,NA,A
Mujer,22,1.44,B
Mujer,19,1.68,B
Mujer,19,1.56,B
Mujer,22,1.88,AB
Mujer,25,1.61,O
Mujer,23,1.98,A
Mujer,24,1.92,AB
Hombre,20,1.71,A
Hombre,24,1.43,AB
Mujer,18,1.46,A
Hombre,20,NA,B
Mujer,27,1.5,A
Mujer,30,NA,A
Hombre,24,1.48,B
Mujer,19,1.81,AB
Mujer,18,1.46,AB
Hombre,26,NA,B
Mujer,27,NA,O
Mujer,26,1.51,A
Hombre,28,1.72,A
Hombre,21,1.9,A
Mujer,19,1.62,AB
Mujer,30,1.85,AB
Mujer,20,1.5,O
Hombre,18,1.55,AB
Mujer,30,NA,A
Hombre,24,1.94,B
Mujer,20,NA,A
Hombre,26,1.98,O
Mujer,23,1.48,B
Hombre,27,1.97,AB
Hombre,20,1.82,B
Hombre,28,NA,O
Hombre,22,1.92,B
Mujer,28,1.66,A
Hombre,26,1.76,AB
Mujer,24,1.84,AB
Mujer,21,1.78,O
Hombre,27,1.99,AB
Hombre,25,1.9,B
Mujer,24,1.99,O
Hombre,24,1.88,A
Mujer,23,1.83,AB
Hombre,25,1.75,B
Mujer,23,NA,A
Mujer,24,1.57,O
Mujer,29,NA,A
Mujer,27,NA,A
Hombre,26,NA,AB
Hombre,22,1.42,O
Mujer,29,1.45,B
Mujer,18,1.84,O
Hombre,26,1.63,O
Mujer,25,NA,A
Mujer,20,1.89,O
Mujer,27,1.47,A
Hombre,25,1.71,B
Hombre,23,1.47,A
Mujer,26,1.75,B
Hombre,23,1.79,O
Mujer,20,1.59,B
Mujer,28,NA,A
Hombre,25,1.55,AB
Hombre,22,1.86,O
Hombre,27,1.8,AB
Hombre,27,1.85,B
Mujer,18,1.42,B
Hombre,21,1.53,A
Hombre,20,1.81,AB
Mujer,24,1.74,B
Hombre,27,1.44,O
Hombre,26,NA,O
Mujer,22,1.55,AB
Mujer,21,1.71,B
Hombre,27,1.55,O
Hombre,24,1.95,B
Mujer,30,1.55,B
Hombre,20,1.48,B
Mujer,28,1.58,O
Hombre,26,1.71,B
Mujer,30,1.43,AB
Hombre,18,1.93,B
Mujer,29,1.52,AB
Hombre,24,1.77,B
Hombre,20,1.52,B
Mujer,26,1.42,O
Hombre,29,1.84,AB
Hombre,20,1.53,B
Mujer,23,1.73,AB
Hombre,26,1.93,A
Hombre,29,1.82,B
Hombre,20,1.68,B
Mujer,24,1.8,B
Hombre,23,1.99,B
Hombre,19,1.83,AB
Mujer,19,1.57,AB
Mujer,28,1.47,B
Hombre,24,1.43,B
Mujer,28,1.44,B
Mujer,27,1.8,B
Hombre,26,1.91,O
Mujer,18,1.64,B
Hombre,27,NA,B
Hombre,20,1.62,AB
Hombre,18,1.84,O
Hombre,29,NA,AB
Hombre,18,NA,O
Mujer,23,NA,B
Mujer,19,1.49,AB
Mujer,26,1.44,A
Hombre,30,1.81,B
Mujer,21,1.85,B
Hombre,18,1.55,B
Hombre,18,NA,AB
Hombre,24,1.88,O
Hombre,27,1.55,B
Mujer,18,1.54,O
Hombre,21,1.51,AB
Hombre,29,1.7,O
Mujer,28,1.99,O
Mujer,19,1.44,AB
Hombre,23,1.63,AB
Mujer,24,NA,AB
Mujer,21,1.96,O
Hombre,27,1.94,AB
Mujer,18,1.53,B
Mujer,27,1.5,B
Mujer,21,NA,O
Hombre,25,1.97,O
Mujer,29,1.61,AB
Hombre,26,1.91,B
Mujer,22,1.6,A
Mujer,23,1.89,AB
Mujer,25,1.61,B
Hombre,27,NA,B
Hombre,30,1.63,B
Hombre,19,1.73,AB
Mujer,27,1.74,B
Hombre,19,NA,AB
Hombre,30,1.98,B
Hombre,18,1.86,AB
Mujer,23,NA,AB
Mujer,27,1.79,O
Hombre,18,1.46,O
Mujer,23,1.48,AB
Mujer,26,1.95,B
Mujer,22,1.56,O
Mujer,18,1.47,AB
Hombre,26,1.71,A
Mujer,18,1.6,B
Hombre,24,1.61,O
Mujer,24,1.62,AB
Hombre,30,NA,O
Hombre,27,1.55,AB
Mujer,26,1.61,AB
Hombre,18,1.41,O
Hombre,25,1.83,AB
Mujer,19,NA,A
Mujer,24,1.97,A
Mujer,25,1.55,AB
Mujer,19,1.43,A
Hombre,21,1.49,B
Hombre,19,1.79,O
Hombre,18,1.46,B
Hombre,19,1.73,A
Mujer,25,1.41,AB
Mujer,18,1.92,B
Mujer,21,1.96,B
Mujer,27,1.57,O
Hombre,20,NA,A
Hombre,29,1.69,A
Mujer,29,NA,AB
Mujer,29,1.93,B
Hombre,23,1.62,AB
Mujer,29,1.76,AB
Hombre,28,1.81,A
Mujer,26,NA,AB
Mujer,19,1.99,AB
Hombre,27,1.63,O
Mujer,20,1.52,O
Hombre,28,NA,O
Hombre,29,NA,B
Mujer,29,1.85,B
Mujer,29,1.79,B
Mujer,29,1.43,B
Hombre,18,1.44,O
Hombre,29,1.74,B
Mujer,28,NA,AB
Mujer,21,1.41,O
Mujer,20,1.81,B
Hombre,26,1.54,A
Hombre,30,1.63,O
Hombre,18,1.82,B
Mujer,20,1.96,A
Hombre,23,1.95,B
Mujer,22,1.94,A
Mujer,21,1.67,O
Hombre,23,1.55,B
Mujer,22,1.49,B
Mujer,28,1.44,AB
Mujer,27,1.9,O
Hombre,27,1.77,O
Mujer,26,NA,B
Hombre,24,1.81,A
Mujer,20,1.46,AB
Mujer,29,1.66,O
Hombre,23,NA,AB
Mujer,26,1.63,AB
Hombre,26,1.6,O
Mujer,21,1.94,B
Hombre,20,1.67,AB
Hombre,24,NA,O
Hombre,30,1.88,B
Hombre,20,1.67,O
Hombre,27,1.99,B
Hombre,21,1.52,AB
Mujer,24,1.79,O
Hombre,25,1.83,A
Hombre,23,1.53,A
Hombre,29,1.64,B
Mujer,21,1.72,B
Hombre,22,1.88,AB
Mujer,29,1.86,A
Mujer,23,1.42,A
Mujer,18,1.96,AB
Mujer,21,NA,B
Mujer,26,1.83,O
Hombre,30,NA,A
Hombre,25,NA,B
Mujer,26,1.43,O
Mujer,19,1.46,B
Hombre,30,1.42,A
Mujer,22,1.42,A
Mujer,19,NA,AB
Mujer,28,1.66,AB
Hombre,29,1.5,AB
Hombre,20,1.61,AB
Mujer,27,1.65,AB
Mujer,18,1.42,B
Hombre,20,1.72,B
Mujer,29,1.52,AB
Mujer,28,1.7,B
Mujer,25,1.41,A
Hombre,20,1.86,B
Hombre,21,1.56,O
Hombre,23,NA,B
Mujer,27,NA,O
Hombre,22,1.66,B
Hombre,19,1.91,A
Hombre,26,1.89,B
Mujer,26,NA,B
